name,location,price,capacity,rating,reviews,description
Wrecking Bar Brewpub,"Atlanta, GA",$$,201-250 Guests,5,9,The Marianna at Wrecking Bar Brewpub is a historic mansion wedding venue.
Intercontinental Buckhead Atlanta,"Atlanta, GA",$$$,300+ Guests,5,8,InterContinental Buckhead Atlanta combines classic charm with modern luxury.
The Westside Warehouse,"Atlanta, GA",$$,201-250 Guests,5,37,The Westside Warehouse is located in the heart of Atlanta’s west-midtown creative district.
Grand Hyatt Atlanta in Buckhead,"Atlanta, GA",$$$,300+ Guests,5,4,Grand Hyatt Atlanta in Buckhead is an urban retreat.
Hotel Colee,"Atlanta, GA",$$$,251-300 Guests,0,0,"Hotel Colee is an award-winning hotel in Atlanta, GA."
Waldorf Astoria Atlanta Buckhead,"Atlanta, GA",$$$$,51-100 Guests,4.9,7,Waldorf Astoria Atlanta Buckhead offers luxury and Southern charm.
Omni Atlanta Hotel at Centennial Park,"Atlanta, GA",$$$,300+ Guests,5,6,Omni Atlanta Hotel at CNN Center is the perfect Atlanta wedding venue.
42West Entertainment Group,"Atlanta, GA",$$$,251-300 Guests,5,6,42West Entertainment Group offers a blend of industrial modernity and refined elegance.
THE TROLLEY BARN,"Atlanta, GA",$$,201-250 Guests,4.2,41,This 1889 structure features hardwood floors and a patio.
Kimpton Sylvan Hotel,"Atlanta, GA",$$$,101-150 Guests,1,1,The Kimpton Sylvan Hotel is a boutique wedding venue in Buckhead.
Renaissance Concourse Atlanta Airport Hotel,"Atlanta, GA",$$$,300+ Guests,0,0,Renaissance Concourse Atlanta Airport Hotel combines luxury and convenience.
Swan Coach House,"Atlanta, GA",$$,101-150 Guests,5Stars,7,An elegant historic wedding venue in the residential heart of Buckhead.
Enon Ranch,"Atlanta, GA",$$,251-300 Guests,5Stars,2,A rustic event space offering countryside views and celebration spaces.
Pristine Chapel Lakeside,"Jonesboro, GA",$$,251-300 Guests,4.8Stars,103,A luxe ceremony and reception venue with lakeside views.
Kimball Hall,"Roswell, GA",$$,151-200 Guests,5Stars,162,A newly renovated venue with indoor and outdoor ceremony sites.
Brick and Ivey,"Marietta, GA",$$,151-200 Guests,5Stars,99,A modern wedding venue with exposed brick walls and multiple event spaces.
The Atrium,"Norcross, GA",$$,101-150 Guests,4.8Stars,150,A contemporary venue with a mezzanine level overlooking glass gardens.
Stanley House Mansion,"Marietta, GA",$$,101-150 Guests,5Stars,48,A historic mansion with classic Southern charm.
Primrose Cottage,"Roswell, GA",$$,300+ Guests,4.9Stars,272,An enchanting three-story home with a stately front lawn.
Roswell Historic Hall,"Roswell, GA",$$,300+ Guests,4.3Stars,49,A historic event venue for various celebrations.
Naylor Hall,"Roswell, GA",Outdoor Event Space,201-250 Guests,5Stars,173,A historic venue with a modern makeover.
Flint Hill,"Norcross, GA",$$,251-300 Guests,4.8Stars,205,A restored historic mansion with landscaped grounds.
Little Gardens,"Lawrenceville, GA",$$,251-300 Guests,4.9Stars,215,A serene venue with a manor house and green grounds.
Country Club of Roswell,"Roswell, GA",$$,201-250 Guests,4.7Stars,23,A flexible venue for intimate or large celebrations.
Vecoma At The Yellow River,"Snellville, GA",$$,251-300 Guests,4.9Stars,199,A waterfront venue with discounts for off-season weddings.
Ivy Hall,"Roswell, GA",$$$,201-250 Guests,4.9Stars,89,A historic venue with Southern history.
Roswell Mill Club,"Roswell, GA",$$,151-200 Guests,4.8Stars,41,A historic venue with Southern history.
The 173 Carlyle House,"Norcross, GA",$$,300+ Guests,4.8Stars,109,A turn-of-the-century mansion with manicured grounds.
Brumby Hall & Gardens,"Marietta, GA",$$,151-200 Guests,4Stars,2,A historic venue with meticulously kept gardens.
Huntcliff River Club,Atlanta Area,$$,101-150 Guests,4.9Stars,30,A charming venue near the Chattahoochee River.
Eden Garden House,"Atlanta, GA",$$$,151-200 Guests,Not specified,Not specified,A garden house facility for special events.
The Foxglove,"Marietta, GA",$$,300+ Guests,5Stars,3,A characterful venue in the historic district.
Whitestone Reserve,"Austell, GA",$$,101-150 Guests,5Stars,21,A new metro Atlanta wedding venue with natural lighting.
The Reserves at Hamilton Homes,"Mableton, GA",$$$,101-150 Guests,5Stars,1,A venue with gorgeous sunset views and interiors.
Westin Atlanta Airport,"Atlanta, GA",Not specified,300+ Guests,4Stars,4,A convenient wedding venue near the airport.
Chattahoochee Nature Center,"Roswell, GA",$$,151-200 Guests,4.8Stars,38,A nature-focused venue for outdoor celebrations.
The Cotton Gin at Mill Creek,"Hiram, GA",$$,151-200 Guests,5Stars,95,An all-inclusive wedding venue with a no-fee guarantee.
Ashton Gardens Atlanta by Walters Wedding Estates,"Sugar Hill, GA",$$$,251-300 Guests,4.8Stars,475,A premier wedding venue with a glass chapel.
Conservatory at Waterstone,"Acworth, GA",$$,201-250 Guests,4.9Stars,102,A historic banquet hall with all-inclusive solutions.
Little River Farms,"Alpharetta, GA",$$,201-250 Guests,4.9Stars,188,A peaceful retreat with indoor and outdoor spaces.
The Wildflower Barn at Little River Farms,"Alpharetta, GA",$,101-150 Guests,5Stars,81,"The Wildflower Barn at Little River is a historic, family owned barn that has been renovated to accommodate weddings and special events. Our all white painted barn features distressed white brick wall."
Payne Corley House,"Duluth, GA",$$,151-200 Guests,5Stars,190,"In Duluth, GA, the Payne-Corley House is a wedding venue and restored farmhouse that offers you and guests a tranquil retreat for your celebrations. No matter the season, the grounds offer picturesque."
Foxhall Resort,"Douglasville, GA",$$$,201-250 Guests,4.2Stars,63,"Situated in Douglasville, GA, Foxhall Resort is a picturesque wedding venue that provides couples with a full weekend experience. Located on 1,100 acres of stretched countryside, the estate offers a d."
Venue 92,"Woodstock, GA",$$,151-200 Guests,4.9Stars,89,"Whether it's a romantic garden affair, a glamorous evening under the lights, or neon-lights-music-thumping all out party atmosphere, Venue 92 can fulfill any vision you have for your big day. Our flex."
SomeTheme Weddings & Events,Metro Atlanta and Surrounding Areas,$$$,51-100 Guests,5Stars,6,Looking to forego the rustic barn or industrial warehouse feel? Our venue exudes timeless elegance without feeling stuffy or outdated. Highlights below: WINDOWS Our venue boasts 11 ft windows with e.
Che'ne Rouge,"Hiram, GA",$$,151-200 Guests,4.9Stars,7,"About Che'ne Rouge Weddings Che’ne Rouge Weddings is a premier wedding venue located in Hiram, Georgia. If you are planning an elegant wedding, this venue offers exactly what you are looking for. Coup."
TPC Sugarloaf,"Duluth, GA",$$$,201-250 Guests,5Stars,36,"TPC Sugarloaf is a remarkably elegant wedding venue located in Duluth, Georgia. This charming Clubhouse sits on a breathtaking ceremony lawn which overlooks the 18th hole of their championship golf co."
Douglasville Conference Center,"Douglasville, GA",$$,300+ Guests,3Stars,1,"Based in Douglasville, GA, the Douglasville Conference Center is a wedding venue with a purpose. With its elegant spaces, iconic downtown location, exemplary service, and track record of exciting even."
The Grande At Kennesaw,"Kennesaw, GA",$$,201-250 Guests,4Stars,10,"Based in Kennesaw, GA, The Grande At Kennesaw is a charming Victorian-style farmhouse and wedding venue. Nestled on 2.5 acres of stunning landscaped gardens, it makes for a stunning romantic backdrop."
Governors Towne Club,"Acworth, GA",$$,201-250 Guests,4.2Stars,13,"Governors Towne Club is an elegant event and wedding venue nestled in Acworth, GA, conveniently situated just 45 minutes from downtown Atlanta. The pristine golf course, sophisticated spaces, as well."
Kite Manor Events & Studio,"Fayetteville, GA",$$$,51-100 Guests,New,0,"Kite Manor Events & Studio is a unique and charming wedding venue in the south Atlanta area of Fayetteville, GA, offering polished modern indoor areas as well as rustic outdoor spaces, including pools."
Hilton Alpharetta Atlanta,"Alpharetta, GA",$$,251-300 Guests,5Stars,1,"Hilton Alpharetta Atlanta is a hotel and wedding venue situated in Alpharetta, Georgia. Newest full-service Hilton Alpharetta hotel opened spring 2021 is nestled along Windward and North Point Parkway."
Vines Mansion & Gardens,"Loganville, GA",$$,300+ Guests,4.6Stars,31,"Vines Mansion is based in Loganville, Georgia. This location has an open vendor policy which allows you have the option to bring in your own Catering Company, DJ, Cake, Officiant, Drinks and more savi."
Hazlehurst House,"McDonough, GA",$$,251-300 Guests,4.8Stars,54,"Hazelhurst House is a wedding venue located in McDonough, GA. This gorgeous property sits on three acres of private land for intimate celebrations up to 300 guests. With a variety of indoor and outdoo."
The Grand Ivy Point,"Suwanee, GA",$$,300+ Guests,3Stars,2,"Located in Suwanee, GA, The Grand Ivy Point is a premier wedding venue designed to host a variety of special events, from weddings and quinceañeras to corporate gatherings and concerts. With over 12,0."
Genesis Ballroom,"Suwanee, GA",$$,251-300 Guests,New,0,"Established in 2022, Genesis Ballroom is an opulent wedding venue perfect for lavish occasions nestled in Suwanee, GA. This spacious setting blends elegance, contemporary and industrial stylings, and."
Atlanta Marriott Alpharetta,"Alpharetta, GA",$$,300+ Guests,5Stars,2,"The Atlanta Marriott Alpharetta is a luxurious hotel venue located in the heart of Alpharetta, GA. It is the perfect venue for couples looking to host a sophisticated and memorable event. Ideal for h."
St Ives Country Club,"Johns Creek, GA",$$$,201-250 Guests,4.7Stars,14,"St Ives Country Club, one of Atlanta's most stunning wedding venues. Located in Johns Creek, has 45,000 square foot of stone encased clubhouse that sits majestically atop one of the highest points in."
Breckinridge Banquet Hall,"Duluth, GA",$$,101-150 Guests,4.8Stars,27,"Breckinridge Banquet Hall is a wedding venue located in Duluth, Georgia. This upscale venue offers a memorable locale for your wedding celebrations. From intimate gatherings to large-scale receptions."
Cherry Hollow Farm,"Chattahoochee Hills, GA",$$,151-200 Guests,5Stars,6,"Congratulations on your engagement! Cherry Hollow Farm is an one-of-a-kind indoor/outdoor wedding and event venue. Cherry Hollow Farm includes two bars, stage, cocktail lounge, dressing rooms, industr."
Atlanta Cosmopolitan Event Center,"Douglasville, GA",Not specified,Not specified,0Stars,0,"Atlanta Cosmopolitan Event Center is a wedding venue located in Douglasville, GA. It offers everything you need to bring your dream wedding event to life and is conveniently located just 10 miles from."
Carl House,"Auburn, GA",$$$,201-250 Guests,4.8Stars,185,"Carl House is a wedding venue located in Auburn, GA. This historic home is presented to prospective newlyweds as an elegant destination for wedding celebrations complete with beautiful grounds and a m."
The Wheeler House and Barn,"Ball Ground, GA",$$,251-300 Guests,4.9Stars,117,"Located in Ball Ground, GA, The Wheeler House is a rustic barn wedding venue. Bursting with Southern charm, this romantic setting is perfect for quaint countryside celebrations. It dates back to 1906."
Koury Farms Weddings & Events,"Auburn, GA",$$,151-200 Guests,5Stars,110,"Located in Northeast GA, between Atlanta and Athens, Koury Farms Weddings & Events, LLC is the venue you didn't think you would find!! From the smallest detail to the big picture, the team at this ru."
The Venue at Stillwater Pond,"Temple, GA",$$,151-200 Guests,New,0,"The Venue at Stillwater Pond is a stunning wedding venue located in Temple, GA. Nestled on 53 acres of picturesque property and with views of enchanting forestry and green pastures, this could be the."
Lanier Islands Weddings,"Buford, GA",$$$,300+ Guests,4.7Stars,170,"Located 45 minutes North of Atlanta, Lanier Islands Weddings provides breathtaking backdrops, world class amenities, and an incredible variety of venues, all within reach. With endless options from qu."
Bradford House and Gardens,"Flowery Branch, GA",$$,101-150 Guests,5Stars,42,"Bradford House and Gardens is a classic, southern home wedding venue nestled on seven gorgeous acres at the southern part of Lake Lanier in Flowery Branch, GA. This all-inclusive venue offers phenomen."
Bullock Springs Manor,"Dallas, GA",$$,151-200 Guests,4.4Stars,16,"Located on 8 acres of luscious land in Dallas, GA, Bullock Springs Manor is a premier barn and farm wedding venue. Newly renovated and complete with a white-washed barn, landscaped gardens, and elegan."
The Engine Room,"Monroe, GA",Outdoor Event Space,300+ Guests,4.9Stars,32,"The Engine Room at Monroe Cotton Mills is a unique wedding venue located near Atlanta in historic downtown Monroe, GA. The Engine Room offers historical elegance with modern convenience and is a perfe."
In The Woods,"Rockmart, GA",$$$,201-250 Guests,5Stars,23,"In the Woods is North Georgia's newest state-of-the-art Wedding and Event Venue. Located in Rockmart, GA on a family-owned beautiful secluded property, this charming and rustic location is the perfect."
